"","shrid2","first_park_year","treated_pc11_village_town_id","first_park_id"
"2144","11-32-594-05654-627840",99,"627840",NA
"2145","11-32-594-05654-627850",99,"627850",NA
"2146","11-32-594-05654-803280",1975,"803280",4756
"2147","11-32-594-05656-627906",99,"627906",NA
"2148","11-32-594-05656-627916",99,"627916",NA
"2149","11-32-594-05656-627937",99,"627937",NA
"2150","11-32-595-05657-627949",2002,"627949",7774
"2151","11-32-595-05657-627959",99,"627959",NA
"2152","11-32-595-05657-803284",99,"803284",NA
"2153","11-32-595-05658-627977",99,"627977",NA
"2154","11-32-595-05658-627979",99,"627979",NA
"2155","11-32-595-05658-803285",99,"803285",NA
"2156","11-32-595-05659-627988",1964,"627988",4862
"2157","11-32-595-05661-628008",99,"628008",NA
"2158","11-32-595-05661-803288",99,"627989",NA
"2159","11-32-595-05661-803289",2008,"628002",7776
"2160","11-32-595-05662-628031",99,"628031",NA
"2161","11-32-596-05664-628056",99,"628056",NA
"2162","11-32-596-05666-628085",99,"628085",NA
"2163","11-32-596-05666-628096",99,"628096",NA
"2164","11-32-596-05666-803293",99,"803293",NA
"2165","11-32-597-05669-803295",99,"803295",NA
"2166","11-32-597-05670-628159",99,"628159",NA
"2167","11-32-597-05670-628170",99,"628170",NA
"2168","11-32-597-05670-628172",1975,"628172",4827
"2169","11-32-597-05670-628173",99,"628173",NA
"2170","11-32-597-05671-628191",99,"628191",NA
"2171","11-32-597-05672-628197",99,"628197",NA
"2172","11-32-598-05673-628210",99,"628210",NA
"2173","11-32-598-05673-628213",99,"628213",NA
"2174","11-32-598-05673-628215",99,"628215",NA
"2175","11-32-598-05673-628221",2010,"628221",5411
"2176","11-32-598-05673-803298",99,"628212",NA
"2177","11-32-598-05674-628226",99,"628226",NA
"2178","11-32-598-05677-628271",99,"803301",NA
"2179","11-32-598-05678-628280",1975,"628289",7834
"2180","11-32-599-05680-628302",99,"628302",NA
"2181","11-32-599-05683-628343",99,"628343",NA
"2182","11-32-599-05683-628350",99,"628350",NA
"2183","11-32-600-05684-628367",99,"628367",NA
"2184","11-32-600-05686-628389",99,"628389",NA
"2185","11-32-600-05687-628422",99,"628422",NA
"2186","11-32-600-05687-628429",99,"628429",NA
"2187","11-32-600-05688-628446",99,"628446",NA
"2188","11-32-600-05688-628448",99,"628448",NA
"2189","11-32-600-05688-628450",99,"628450",NA
"2190","11-32-601-05689-803309",99,"803309",NA
"2191","11-32-601-05690-628492",99,"628492",NA
"2192","11-32-601-05690-628500",99,"628500",NA
"2193","11-32-601-05691-628509",2001,"628509",7771
"2194","11-32-601-05691-628510",99,"628510",NA
"2195","11-32-601-05691-803312",1963,"628514",4750
"2196","11-33-602-05693-628583",1988,"628583",7956
"2197","11-33-602-05693-628585",99,"628585",NA
"2198","11-33-602-05693-628599",1981,"628599",3073
"2199","11-33-602-05693-628600",99,"628600",NA
"2200","11-33-602-05693-803314",99,"803314",NA
"2201","11-33-602-05694-628693",99,"628693",NA
"2202","11-33-602-05694-628765",1994,"628765",7959
"2203","11-33-602-05695-628778",99,"628778",NA
